year month day hour minnute second latitude longitude depth magnitude label
2011 6 22 4 45 10.27 40.0380 140.5447 9.57 0.8 0
2011 6 22 12 14 14.30 40.0412 140.5368 10.67 0.4 0
2011 6 22 12 14 42.66 40.0408 140.5405 9.37 0.8 0
2011 6 22 13 27 5.52 40.0410 140.5410 9.34 1.3 0
2011 6 22 16 12 14.90 40.0362 140.5517 10.25 1.3 1
2011 6 23 3 37 21.23 40.0367 140.5475 9.87 0.7 1
2011 6 23 3 37 27.28 40.0382 140.5440 9.59 0.8 0
2011 6 23 4 9 16.66 40.0370 140.5448 7.95 0.9 0
2011 6 23 7 58 38.83 40.0362 140.5497 10.71 1.7 1
2011 6 23 7 58 42.53 40.0378 140.5440 8.42 1.7 1
2011 6 23 9 43 19.80 40.0378 140.5487 9.12 1.5 1
2011 6 23 16 40 37.29 40.0362 140.5437 9.06 1.1 1
2011 6 23 20 45 42.37 40.0383 140.5423 8.80 1.2 1
2011 6 24 2 44 41.42 40.0362 140.5490 9.50 1.1 0
2011 6 25 11 37 28.28 40.0382 140.5432 8.63 2.0 0
2011 6 25 11 37 32.20 40.0403 140.5433 10.38 3.1 0
2011 6 25 11 45 23.60 40.0350 140.5438 8.84 2.2 1
2011 6 26 11 47 2.56 40.0362 140.5435 9.05 1.5 1
2011 6 28 12 25 1.64 40.0430 140.5493 10.44 0.4 0
2011 6 29 3 2 14.68 40.0370 140.5498 10.19 1.0 1
2011 7 2 5 15 30.69 40.0337 140.5490 9.55 1.4 1
2011 7 2 16 18 35.31 40.0362 140.5460 9.35 1.6 0
2011 7 3 12 37 45.59 40.0415 140.5407 10.59 0.7 1
2011 7 3 18 36 39.03 40.0372 140.5442 8.80 1.1 0
2011 7 3 19 39 7.57 40.0382 140.5478 9.01 1.2 1
2011 7 5 9 55 41.04 40.0362 140.5422 8.34 1.1 0
2011 7 5 22 31 3.46 40.0403 140.5478 9.41 1.4 0
2011 7 7 1 29 22.75 40.0493 140.5513 9.89 0.9 1
2011 7 8 17 23 12.04 40.0357 140.5513 9.70 1.3 0
2011 7 8 17 25 17.43 40.0380 140.5485 10.15 1.1 1
2011 7 9 5 4 3.23 40.0397 140.5390 9.01 0.4 0
2011 7 11 2 4 33.93 40.0408 140.5458 8.57 1.4 1
2011 7 11 5 4 29.33 40.0355 140.5462 8.58 0.4 0
2011 7 11 10 6 42.70 40.0353 140.5542 10.20 1.0 1
2011 7 12 7 28 18.53 40.0318 140.5470 8.82 1.7 1
2011 7 12 7 33 7.30 40.0317 140.5475 9.19 1.1 1
2011 7 13 9 43 25.79 40.0407 140.5457 8.41 1.0 1
2011 7 15 0 55 48.99 40.0370 140.5485 7.99 0.8 1
2011 7 15 0 56 33.79 40.0362 140.5467 8.38 1.2 1
2011 7 16 6 32 23.20 40.0403 140.5453 9.35 1.1 1
2011 7 17 12 16 41.50 40.0478 140.5497 9.64 0.6 0
2011 7 17 12 17 8.27 40.0492 140.5483 9.98 0.6 0
2011 7 18 0 21 6.23 40.0382 140.5543 6.79 0.5 1
2011 7 18 12 57 8.74 40.0355 140.5483 9.27 1.3 1
2011 7 18 12 57 47.08 40.0377 140.5427 9.48 0.4 1
2011 7 18 12 58 21.87 40.0378 140.5463 7.95 1.0 1
2011 7 18 12 58 52.21 40.0347 140.5477 10.35 0.6 1
2011 7 18 13 0 31.27 40.0353 140.5473 9.68 0.4 1
2011 7 18 13 17 3.24 40.0350 140.5473 10.09 0.8 0
2011 7 21 1 37 40.62 40.0360 140.5483 9.11 0.7 1
2011 7 21 2 3 46.51 40.0462 140.5512 9.33 0.9 1
2011 7 21 12 1 7.89 40.0417 140.5437 10.96 0.7 1
2011 7 22 0 35 2.26 40.0380 140.5465 9.59 1.5 1
2011 7 22 0 35 21.99 40.0373 140.5477 10.04 1.0 1
2011 7 23 2 39 34.99 40.0395 140.5475 9.37 1.0 1
2011 7 23 4 48 48.88 40.0313 140.5455 9.72 0.7 0
2011 7 24 3 12 31.43 40.0347 140.5498 9.22 0.9 1
2011 7 25 0 2 51.69 40.0310 140.5447 9.05 0.4 0
2011 7 25 3 0 6.70 40.0388 140.5482 9.78 1.3 0
2011 7 26 4 32 2.37 40.0330 140.5463 8.99 0.9 0
2011 7 27 1 28 20.69 40.0418 140.5423 9.00 0.4 0
2011 7 27 16 18 55.94 40.0395 140.5457 8.47 1.3 0
2011 7 28 8 59 6.17 40.0355 140.5448 8.57 1.8 1
2011 7 29 12 35 33.61 40.0370 140.5443 10.16 1.0 1
2011 7 30 18 54 10.16 40.0457 140.5537 9.88 1.4 0
2011 7 31 4 49 38.94 40.0400 140.5428 8.19 1.0 1
2011 7 31 23 28 15.49 40.0397 140.5433 8.88 1.2 0
2011 8 2 5 8 23.70 40.0377 140.5462 9.50 0.9 1
2011 8 2 5 23 28.44 40.0315 140.5412 7.35 0.6 1
2011 8 2 5 24 17.74 40.0355 140.5415 8.77 0.8 1
2011 8 2 12 10 11.00 40.0323 140.5502 9.86 1.1 1
2011 8 3 0 32 0.73 40.0388 140.5412 9.29 1.0 0
2011 8 3 3 30 47.33 40.0425 140.5422 6.50 1.0 0
2011 8 3 11 31 29.27 40.0360 140.5502 8.99 1.2 0
2011 8 3 12 5 24.88 40.0345 140.5515 9.03 1.1 1
2011 8 3 20 40 55.12 40.0393 140.5442 9.40 1.1 1
2011 8 4 12 36 55.58 40.0317 140.5367 11.67 0.2 0
2011 8 5 3 57 13.92 40.0263 140.5547 10.80 0.8 1
2011 8 5 9 15 18.99 40.0347 140.5472 8.74 0.8 0
2011 8 5 9 44 59.18 40.0340 140.5458 8.83 0.3 1
2011 8 6 1 6 50.62 40.0320 140.5432 10.75 0.3 1
2011 8 6 4 52 57.89 40.0358 140.5455 9.20 0.4 0
2011 8 6 12 49 15.99 40.0408 140.5440 9.33 1.6 0
2011 8 9 2 15 13.17 40.0362 140.5457 9.71 0.6 1
2011 8 9 4 9 33.83 40.0337 140.5417 8.03 0.6 1
2011 8 9 10 43 21.45 40.0372 140.5468 9.51 1.6 1
2011 8 9 14 2 8.15 40.0382 140.5450 8.64 1.3 1
2011 8 9 14 46 0.52 40.0278 140.5502 9.92 0.9 0
2011 8 9 20 57 39.15 40.0387 140.5497 9.52 1.2 1
2011 8 10 13 14 5.97 40.0280 140.5455 9.80 0.7 0
2011 8 10 17 7 52.85 40.0287 140.5477 10.20 0.7 1
2011 8 10 18 50 27.58 40.0372 140.5452 9.46 0.9 1
2011 8 11 7 45 41.98 40.0405 140.5407 9.65 0.8 1
2011 8 11 9 18 33.99 40.0343 140.5467 9.69 0.7 1
2011 8 11 9 19 5.87 40.0353 140.5417 7.36 1.6 0
2011 8 11 17 21 24.36 40.0358 140.5428 8.19 0.6 0
2011 8 11 17 36 5.20 40.0405 140.5430 9.37 0.6 1
2011 8 12 1 2 33.06 40.0347 140.5475 9.76 0.9 1
2011 8 12 1 3 16.97 40.0423 140.5433 7.29 1.1 1
2011 8 12 1 23 44.75 40.0362 140.5457 9.33 1.3 0
2011 8 12 4 22 50.54 40.0265 140.5492 9.28 0.5 1
2011 8 12 4 26 6.20 40.0368 140.5443 8.70 0.2 1
2011 8 12 8 5 20.27 40.0335 140.5443 11.13 0.5 1
2011 8 12 16 7 2.03 40.0387 140.5452 9.89 0.3 0
2011 8 12 17 25 25.49 40.0230 140.5520 9.68 0.8 1
2011 8 12 19 23 4.84 40.0407 140.5390 9.56 0.4 1
2011 8 13 3 21 16.84 40.0360 140.5455 9.13 0.7 1
2011 8 13 3 56 38.06 40.0425 140.5575 9.13 0.7 0
2011 8 13 6 40 47.10 40.0382 140.5457 9.76 0.8 1
2011 8 13 6 40 55.92 40.0392 140.5425 10.58 0.7 1
2011 8 13 9 15 41.76 40.0403 140.5412 7.12 0.9 1
2011 8 13 11 27 47.94 40.0357 140.5470 9.04 0.7 1
2011 8 13 22 6 48.86 40.0382 140.5413 9.05 0.5 0
2011 8 13 23 27 34.34 40.0318 140.5438 7.34 1.1 0
2011 8 13 23 28 23.85 40.0348 140.5452 7.26 0.6 1
2011 8 13 23 40 22.20 40.0337 140.5432 7.46 1.7 1
2011 8 13 23 42 58.61 40.0333 140.5480 10.10 1.8 1
2011 8 14 1 49 58.46 40.0378 140.5445 9.61 0.6 0
2011 8 14 1 55 41.83 40.0357 140.5418 6.91 0.6 1
2011 8 14 1 56 41.56 40.0358 140.5398 9.01 0.2 1
2011 8 14 2 0 36.18 40.0348 140.5377 5.39 0.0 1
2011 8 14 2 1 33.94 40.0303 140.5423 10.07 0.9 1
2011 8 14 2 41 39.10 40.0347 140.5413 8.58 0.9 0
2011 8 14 2 42 52.61 40.0278 140.5503 7.99 0.7 0
2011 8 14 8 42 14.11 40.0337 140.5527 9.34 0.7 1
2011 8 14 8 44 28.71 40.0315 140.5482 9.45 0.4 1
2011 8 14 8 50 48.43 40.0392 140.5485 8.58 0.2 1
2011 8 14 8 51 41.20 40.0428 140.5488 8.65 0.1 1
2011 8 14 11 1 12.61 40.0385 140.5415 9.26 1.4 1
2011 8 14 11 42 32.08 40.0325 140.5428 9.08 0.6 0
2011 8 14 17 38 40.20 40.0313 140.5430 9.67 0.3 1
2011 8 15 1 51 40.40 40.0388 140.5408 10.12 0.4 1
2011 8 15 8 36 56.31 40.0373 140.5485 10.10 0.7 0
2011 8 15 14 51 1.08 40.0327 140.5412 6.96 0.8 0
2011 8 15 15 15 12.50 40.0390 140.5450 9.36 0.4 1
2011 8 15 19 54 19.09 40.0398 140.5447 8.74 0.7 1
2011 8 15 19 59 15.12 40.0400 140.5413 8.91 1.1 1
2011 8 15 20 24 48.42 40.0388 140.5412 8.79 0.7 0
2011 8 16 0 3 25.08 40.0280 140.5492 9.22 0.8 1
2011 8 16 6 18 1.17 40.0368 140.5472 9.20 0.5 0
2011 8 16 7 23 0.93 40.0342 140.5435 10.31 0.7 1
2011 8 16 15 42 5.48 40.0358 140.5457 8.18 0.8 1
2011 8 16 17 40 15.74 40.0387 140.5450 9.62 1.1 0
2011 8 16 20 1 58.40 40.0330 140.5415 7.31 0.7 1
2011 8 16 21 20 38.10 40.0365 140.5432 8.99 0.3 0
2011 8 17 5 31 56.44 40.0263 140.5527 9.44 1.3 1
2011 8 17 5 41 20.07 40.0285 140.5377 8.34 0.6 0
2011 8 17 8 0 25.57 40.0397 140.5415 9.41 0.6 1
2011 8 17 14 27 20.51 40.0403 140.5390 10.09 0.6 0
2011 8 18 4 35 35.80 40.0422 140.5465 9.23 1.0 0
2011 8 18 5 35 55.10 40.0380 140.5425 7.75 1.3 1
2011 8 18 12 57 6.51 40.0355 140.5468 8.09 0.7 1
2011 8 18 12 57 9.30 40.0338 140.5567 12.00 0.8 1
2011 8 18 14 58 44.99 40.0388 140.5433 8.55 1.1 1
2011 8 18 18 33 31.89 40.0400 140.5415 10.28 0.6 1
2011 8 18 21 7 8.59 40.0395 140.5412 9.82 0.7 0
2011 8 18 21 9 12.09 40.0410 140.5387 9.15 0.5 1
2011 8 18 21 30 40.38 40.0388 140.5337 10.04 0.4 1
2011 8 18 22 34 20.80 40.0365 140.5433 8.99 1.1 1
2011 8 18 22 34 35.00 40.0372 140.5380 9.39 0.5 0
2011 8 18 22 35 38.45 40.0298 140.5443 8.59 0.5 1
2011 8 18 22 36 36.73 40.0358 140.5447 9.34 0.6 1
2011 8 18 22 49 22.87 40.0350 140.5420 7.30 0.4 1
2011 8 19 1 20 23.75 40.0348 140.5450 8.03 0.7 1
2011 8 19 10 29 13.37 40.0512 140.5510 10.20 1.1 1
2011 8 19 10 29 22.42 40.0505 140.5497 8.62 0.6 1
2011 8 19 12 9 48.76 40.0375 140.5438 8.83 0.8 1
2011 8 19 22 44 58.46 40.0368 140.5375 9.77 0.5 1
2011 8 19 23 4 46.48 40.0367 140.5450 9.14 0.3 1
2011 8 20 1 42 43.55 40.0373 140.5470 8.75 0.5 1
2011 8 20 2 48 16.28 40.0385 140.5465 9.41 1.2 1
2011 8 20 2 48 34.71 40.0375 140.5453 8.05 0.4 1
2011 8 20 5 26 18.58 40.0383 140.5455 8.36 1.0 1
2011 8 20 5 27 25.04 40.0380 140.5450 7.48 0.6 1
2011 8 20 5 29 18.49 40.0382 140.5425 7.51 0.6 1
2011 8 20 6 59 6.32 40.0375 140.5467 9.92 0.7 1
2011 8 20 7 3 32.92 40.0417 140.5583 10.09 0.7 1
2011 8 20 9 12 56.24 40.0358 140.5410 7.63 0.8 1
2011 8 20 11 59 54.42 40.0345 140.5442 8.08 0.6 1
2011 8 20 12 48 47.29 40.0368 140.5462 9.49 0.4 0
2011 8 20 20 57 51.96 40.0392 140.5438 9.08 1.1 1
2011 8 20 23 41 31.91 40.0380 140.5445 9.21 0.5 1
2011 8 20 23 51 29.29 40.0372 140.5462 9.52 0.1 1
2011 8 21 1 38 55.61 40.0402 140.5408 9.46 0.3 1
2011 8 21 1 45 17.81 40.0425 140.5395 9.31 0.2 1
2011 8 21 3 12 11.01 40.0392 140.5472 9.38 0.4 1
2011 8 21 5 44 55.44 40.0317 140.5395 7.83 0.2 1
2011 8 21 5 50 53.49 40.0315 140.5413 7.71 0.7 1
2011 8 21 8 45 56.58 40.0373 140.5455 9.56 0.5 1
2011 8 21 9 16 30.21 40.0317 140.5478 9.77 0.4 1
2011 8 21 11 1 11.20 40.0378 140.5447 10.48 0.6 1
2011 8 21 12 59 20.80 40.0390 140.5467 10.01 0.7 1
2011 8 21 14 27 32.19 40.0385 140.5457 8.78 1.1 1
2011 8 21 14 37 45.45 40.0350 140.5423 8.33 0.4 0
2011 8 21 15 17 7.87 40.0398 140.5448 8.12 0.3 0
2011 8 21 15 17 31.75 40.0397 140.5410 5.88 0.1 1
2011 8 21 16 47 2.87 40.0360 140.5435 8.67 0.5 1
2011 8 21 18 49 0.91 40.0387 140.5450 8.99 0.7 0
2011 8 21 18 52 16.25 40.0368 140.5437 8.54 1.3 0
2011 8 21 18 52 45.37 40.0388 140.5437 8.70 0.4 0
2011 8 21 19 4 10.31 40.0370 140.5457 9.30 0.4 1
2011 8 21 19 5 34.06 40.0373 140.5408 9.72 0.5 1
2011 8 21 19 30 37.13 40.0425 140.5395 10.35 0.4 1
2011 8 21 19 35 32.13 40.0368 140.5467 9.54 0.9 1
2011 8 21 20 37 48.75 40.0333 140.5352 11.83 0.5 0
2011 8 22 1 37 23.00 40.0407 140.5418 11.50 0.7 1
2011 8 22 2 54 8.32 40.0347 140.5440 8.78 0.5 1
2011 8 22 4 3 36.53 40.0427 140.5382 9.85 1.1 1
2011 8 22 5 37 33.91 40.0348 140.5438 5.82 0.4 1
2011 8 22 7 38 46.50 40.0380 140.5420 9.00 0.9 0
2011 8 22 8 38 4.25 40.0397 140.5440 8.81 1.0 1
2011 8 22 10 6 2.53 40.0352 140.5415 9.72 0.6 1
2011 8 22 10 6 13.05 40.0377 140.5438 9.01 1.4 1
2011 8 22 10 21 26.83 40.0352 140.5468 9.98 0.8 1
2011 8 22 11 46 41.65 40.0362 140.5413 9.06 1.4 0
2011 8 22 17 20 48.21 40.0410 140.5430 7.42 1.0 1
2011 8 22 20 14 23.72 40.0390 140.5442 9.13 0.3 0
2011 8 23 0 8 8.53 40.0343 140.5463 7.71 0.3 0
2011 8 23 1 51 3.50 40.0375 140.5468 8.93 1.1 1
2011 8 23 3 9 57.49 40.0353 140.5435 6.97 0.5 1
2011 8 23 4 2 38.72 40.0403 140.5332 9.16 0.2 1
2011 8 23 4 3 2.17 40.0390 140.5457 9.69 1.6 0
2011 8 23 7 42 58.68 40.0360 140.5475 9.22 0.5 1
2011 8 23 8 5 35.01 40.0373 140.5443 8.78 1.2 1
2011 8 23 9 51 55.04 40.0380 140.5435 9.20 0.9 1
2011 8 23 10 6 48.12 40.0402 140.5432 8.82 1.6 1
2011 8 23 11 48 44.22 40.0377 140.5458 9.29 0.5 1
2011 8 23 16 13 45.94 40.0385 140.5418 10.13 0.4 1
2011 8 23 19 38 0.88 40.0358 140.5468 9.16 0.5 0
2011 8 23 20 36 10.37 40.0358 140.5455 8.85 2.5 0
2011 8 23 20 43 2.02 40.0318 140.5450 8.94 1.4 1
2011 8 23 21 15 53.16 40.0322 140.5448 8.11 1.3 0
2011 8 23 21 16 38.58 40.0352 140.5438 8.28 1.6 0
2011 8 23 22 8 41.84 40.0278 140.5473 10.75 0.9 0
2011 8 24 4 5 21.31 40.0445 140.5525 8.21 0.0 0
2011 8 24 4 12 50.90 40.0377 140.5493 9.38 0.7 0
2011 8 24 4 53 31.47 40.0395 140.5452 8.83 1.3 1
2011 8 24 7 23 13.99 40.0380 140.5472 8.72 0.5 0
2011 8 24 8 28 9.73 40.0383 140.5472 9.42 0.8 0
2011 8 24 13 15 51.75 40.0402 140.5427 8.62 1.2 1
2011 8 24 17 17 0.96 40.0383 140.5417 9.17 0.1 0
2011 8 24 21 23 14.83 40.0393 140.5475 9.72 0.8 1
2011 8 24 22 18 22.14 40.0378 140.5485 9.67 0.2 1
2011 8 24 22 35 7.46 40.0472 140.5508 9.90 0.0 0
2011 8 25 4 49 32.81 40.0397 140.5432 8.26 1.7 1
2011 8 25 12 42 1.95 40.0368 140.5457 9.31 0.9 1
2011 8 26 2 1 9.13 40.0373 140.5448 8.73 0.4 1
2011 8 26 4 53 47.49 40.0402 140.5443 9.29 0.6 1
2011 8 26 5 18 16.74 40.0390 140.5428 9.17 0.6 1
2011 8 26 7 55 20.69 40.0393 140.5422 8.34 0.6 0
2011 8 26 18 58 44.25 40.0392 140.5478 10.13 1.2 1
2011 8 26 19 35 0.82 40.0382 140.5447 9.98 0.3 0
2011 8 26 19 41 19.75 40.0415 140.5580 10.27 0.6 1
2011 8 26 23 27 1.93 40.0418 140.5395 9.74 0.1 0
2011 8 27 0 44 38.68 40.0433 140.5488 8.54 0.4 1
2011 8 27 0 48 37.49 40.0368 140.5452 8.88 0.5 1
2011 8 27 2 42 4.36 40.0360 140.5460 8.97 0.7 1
2011 8 27 4 17 9.09 40.0408 140.5437 8.71 1.1 1
2011 8 27 6 59 2.05 40.0388 140.5428 8.36 1.4 1
2011 8 27 8 17 27.52 40.0402 140.5437 10.66 0.3 1
2011 8 27 12 26 44.25 40.0350 140.5407 8.04 0.6 0
2011 8 27 12 56 41.97 40.0390 140.5438 8.74 1.9 0
2011 8 27 13 33 32.45 40.0398 140.5447 9.19 1.5 1
2011 8 27 14 48 0.55 40.0383 140.5447 9.60 0.4 1
2011 8 27 17 24 28.98 40.0377 140.5432 8.22 1.2 0
2011 8 27 17 37 51.92 40.0387 140.5418 7.96 1.1 1
2011 8 27 19 5 15.13 40.0388 140.5410 7.71 0.8 1
